,Task,Subspecies,Individual
S_Nu_Me_136,Nurses,A. m. mellifera,136
S_Nu_Me_137,Nurses,A. m. mellifera,137
S_Nu_Me_138,Nurses,A. m. mellifera,138
S_Nu_Me_139,Nurses,A. m. mellifera,139
S_Nu_Me_140,Nurses,A. m. mellifera,140
S_Nu_Me_141,Nurses,A. m. mellifera,141
S_Nu_Me_142,Nurses,A. m. mellifera,142
S_Nu_Me_143,Nurses,A. m. mellifera,143
S_Nu_Me_144,Nurses,A. m. mellifera,144
S_Nu_Me_145,Nurses,A. m. mellifera,145
S_PF_Me_176,Foragers,A. m. mellifera,176
S_PF_Me_177,Foragers,A. m. mellifera,177
S_PF_Me_178,Foragers,A. m. mellifera,178
S_PF_Me_179,Foragers,A. m. mellifera,179
S_PF_Me_180,Foragers,A. m. mellifera,180
S_PF_Me_181,Foragers,A. m. mellifera,181
S_PF_Me_182,Foragers,A. m. mellifera,182
S_PF_Me_183,Foragers,A. m. mellifera,183
S_PF_Me_184,Foragers,A. m. mellifera,184
S_PF_Me_185,Foragers,A. m. mellifera,185
S_Nu_Ma_026,Nurses,A. m. macedonica,026
S_Nu_Ma_027,Nurses,A. m. macedonica,027
S_Nu_Ma_028,Nurses,A. m. macedonica,028
S_Nu_Ma_029,Nurses,A. m. macedonica,029
S_Nu_Ma_030,Nurses,A. m. macedonica,030
S_Nu_Ma_041,Nurses,A. m. macedonica,041
S_Nu_Ma_042,Nurses,A. m. macedonica,042
S_Nu_Ma_043,Nurses,A. m. macedonica,043
S_Nu_Ma_044,Nurses,A. m. macedonica,044
S_Nu_Ma_045,Nurses,A. m. macedonica,045
S_PF_Ma_016,Foragers,A. m. macedonica,016
S_PF_Ma_017,Foragers,A. m. macedonica,017
S_PF_Ma_018,Foragers,A. m. macedonica,018
S_PF_Ma_019,Foragers,A. m. macedonica,019
S_PF_Ma_020,Foragers,A. m. macedonica,020
S_PF_Ma_031,Foragers,A. m. macedonica,031
S_PF_Ma_032,Foragers,A. m. macedonica,032
S_PF_Ma_033,Foragers,A. m. macedonica,033
S_PF_Ma_034,Foragers,A. m. macedonica,034
S_PF_Ma_035,Foragers,A. m. macedonica,035
S_Nu_Li_086,Nurses,A. m. ligustica,086
S_Nu_Li_087,Nurses,A. m. ligustica,087
S_Nu_Li_088,Nurses,A. m. ligustica,088
S_Nu_Li_089,Nurses,A. m. ligustica,089
S_Nu_Li_090,Nurses,A. m. ligustica,090
S_Nu_Li_056,Nurses,A. m. ligustica,056
S_Nu_Li_057,Nurses,A. m. ligustica,057
S_Nu_Li_058,Nurses,A. m. ligustica,058
S_Nu_Li_059,Nurses,A. m. ligustica,059
S_Nu_Li_060,Nurses,A. m. ligustica,060
S_PF_Li_076,Foragers,A. m. ligustica,076
S_PF_Li_077,Foragers,A. m. ligustica,077
S_PF_Li_078,Foragers,A. m. ligustica,078
S_PF_Li_079,Foragers,A. m. ligustica,079
S_PF_Li_080,Foragers,A. m. ligustica,080
S_PF_Li_046,Foragers,A. m. ligustica,046
S_PF_Li_047,Foragers,A. m. ligustica,047
S_PF_Li_048,Foragers,A. m. ligustica,048
S_PF_Li_049,Foragers,A. m. ligustica,049
S_PF_Li_050,Foragers,A. m. ligustica,050
S_Nu_Ib_095,Nurses,A. m. iberiensis,095
S_Nu_Ib_097,Nurses,A. m. iberiensis,097
S_Nu_Ib_098,Nurses,A. m. iberiensis,098
S_Nu_Ib_099,Nurses,A. m. iberiensis,099
S_Nu_Ib_100,Nurses,A. m. iberiensis,100
S_Nu_Ib_131,Nurses,A. m. iberiensis,131
S_Nu_Ib_132,Nurses,A. m. iberiensis,132
S_Nu_Ib_133,Nurses,A. m. iberiensis,133
S_Nu_Ib_134,Nurses,A. m. iberiensis,134
S_Nu_Ib_135,Nurses,A. m. iberiensis,135
S_PF_Ib_091,Foragers,A. m. iberiensis,091
S_PF_Ib_092,Foragers,A. m. iberiensis,092
S_PF_Ib_093,Foragers,A. m. iberiensis,093
S_PF_Ib_094,Foragers,A. m. iberiensis,094
S_PF_Ib_096,Foragers,A. m. iberiensis,096
S_PF_Ib_121,Foragers,A. m. iberiensis,121
S_PF_Ib_122,Foragers,A. m. iberiensis,122
S_PF_Ib_123,Foragers,A. m. iberiensis,123
